ID,Artists,Name,Weekly.Rank,Peak.Position,Chart.Weeks,BB.Week,Release.Date
347,"YG, Tyga, Jon Z",Go Loko,50,50,5,2019-06-15,"May 3, 2019"
348,DJ Khaled,Wish Wish,51,19,3,2019-06-15,"May 17, 2019"
349,P!nk,Walk Me Home,52,49,14,2019-06-15,"February 20, 2019"
350,Billie Eilish,Bury A Friend,53,14,19,2019-06-15,"January 30, 2019"
351,Miley Cyrus,Mother's Daughter,54,NA,NA,2019-06-15,"May 31, 2019"
352,Offset,Clout,55,39,9,2019-06-15,"February 22, 2019"
353,YK Osiris,Worth It,56,52,16,2019-06-15,"February 8, 2019"
354,Brett Eldredge,Love Someone,57,57,7,2019-06-15,"June 18, 2018"
355,Lewis Capaldi,Someone You Loved,58,58,4,2019-06-15,"November 8, 2018"
356,Jonas Brothers,Cool,59,27,9,2019-06-15,"April 5, 2019"
357,Marshmello,Here With Me,60,31,13,2019-06-15,"March 8, 2019"
358,Maren Morris,GIRL,61,61,14,2019-06-15,"January 17, 2019"
359,DJ Khaled,Just Us,62,43,3,2019-06-15,"May 16, 2019"
360,5 Seconds Of Summer,Easier,63,48,2,2019-06-15,"May 23, 2019"
361,Luke Bryan,Knockin' Boots,64,64,6,2019-06-15,"March 29, 2019"
362,Chase Rice,Eyes On You,65,38,16,2019-06-15,"October 13, 2017"
363,"Summer Walker, Drake",Girls Need Love,66,37,15,2019-06-15,"February 27, 2019"
364,"The Chainsmokers, Bebe Rexha",Call You Mine,67,NA,NA,2019-06-15,"May 31, 2019"
365,Eli Young Band,Love Ain't,68,50,8,2019-06-15,"May 25, 2018"
366,YNW Melly,Murder On My Mind,69,14,20,2019-06-15,"March 4, 2017"
367,NF,The Search,70,NA,NA,2019-06-15,"May 30, 2019"
368,Lil Uzi Vert,Sanguine Paradise,71,28,8,2019-06-15,"April 9, 2019"
369,Beyonce,Before I Let Go,72,65,7,2019-06-15,"April 17, 2019"
370,Yo Gotti,Put A Date On It,73,46,19,2019-06-15,"January 25, 2019"
371,"Lunay, Daddy Yankee, Bad Bunny",Soltera,74,73,4,2019-06-15,"May 10, 2019"
372,Dan + Shay,All To Myself,75,75,5,2019-06-15,"May 3, 2018"
373,Meek Mill,24/7,76,54,9,2019-06-15,"November 30, 2018"
374,Megan Thee Stallion,Big Ole Freak,77,65,9,2019-06-15,"June 11, 2018"
375,Cody Johnson,On My Way To You,78,78,15,2019-06-15,"August 10, 2018"
376,Joyner Lucas,Isis,79,59,2,2019-06-15,"May 7, 2019"
377,Eric Church,Some Of It,80,76,2,2019-06-15,"October 5, 2018"
378,Florida Georgia Line,Talk You Out Of It,81,77,16,2019-06-15,"July 6, 2018"
379,NLE Choppa,Shotta Flow,82,81,7,2019-06-15,"January 17, 2019"
380,"Pedro Capo, Farruko",Calma,83,71,12,2019-06-15,"October 5, 2018"
381,DJ Khaled,You Stay,84,44,3,2019-06-15,"May 17, 2019"
382,Logic,Homicide,85,5,5,2019-06-15,"May 3, 2019"
383,Billie Eilish,Ocean Eyes,86,84,15,2019-06-15,"November 19, 2015"
384,Juice WRLD,Robbery,87,27,16,2019-06-15,"February 13, 2019"
385,Jason Aldean,Rearview Town,88,88,2,2019-06-15,"March 16, 2018"
386,"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",Baila Baila Baila,89,69,6,2019-06-15,"April 25, 2019"
387,Bryce Vine,La La Land,92,NA,NA,2019-06-15,"March 1, 2019"
388,Trippie Redd,Under Enemy Arms,94,NA,NA,2019-06-15,"May 29, 2019"
389,Nipsey Hussle,Racks In The Middle,95,26,10,2019-06-15,"February 15, 2019"
390,"Nicky Jam, Ozuna",Te Robare,96,95,4,2019-06-15,"March 22, 2019"
391,Chris Young,Raised On Country,97,NA,NA,2019-06-15,"January 4, 2019"
392,"Yella Beezy, Gucci Mane, Quavo",Bacc At It Again,98,94,2,2019-06-15,"March 15, 2019"
393,SHAED,Trampoline,99,NA,NA,2019-06-15,"May 18, 2018"
394,Jon Pardi,Night Shift,100,56,16,2019-06-15,"June 17, 2016"
395,Lil Nas X,Old Town Road,1,1,3,2019-06-08,"April 5, 2019"
396,Billie Eilish,Bad Guy,2,2,9,2019-06-08,"March 29, 2019"
397,Khalid,Talk,3,3,16,2019-06-08,"February 7, 2019"
398,"Ed Sheeran, Justin Bieber",I Don't Care,4,2,3,2019-06-08,"May 10, 2019"
399,Jonas Brothers,Sucker,5,1,13,2019-06-08,"March 1, 2019"
400,"Post Malone, Swae Lee",Sunflower,6,1,32,2019-06-08,"October 18, 2018"
401,Post Malone,Wow.,7,2,23,2019-06-08,"December 24, 2018"
402,"Sam Smith, Normani",Dancing With A Stranger,8,7,20,2019-06-08,"January 11, 2019"
403,DaBaby,Suge,9,9,9,2019-06-08,"March 1, 2019"
404,Ava Max,Sweet But Psycho,10,10,24,2019-06-08,"August 17, 2018"
405,Taylor Swift,ME!,11,2,6,2019-06-08,"April 26, 2019"
406,"Young Thug, J. Cole, Travis Scott",The London,12,NA,NA,2019-06-08,"May 23, 2019"
407,Halsey,Without Me,13,1,34,2019-06-08,"October 4, 2018"
408,Ariana Grande,7 Rings,14,1,19,2019-06-08,"January 18, 2019"
409,Shawn Mendes,If I Can't Have You,15,2,4,2019-06-08,"May 3, 2019"
410,"Marshmello, Bastille",Happier,16,2,41,2019-06-08,"August 17, 2018"
411,Morgan Wallen,Whiskey Glasses,17,17,13,2019-06-08,"April 27, 2018"
412,J. Cole,Middle Child,18,4,19,2019-06-08,"January 23, 2019"
413,Panic! At The Disco,High Hopes,19,4,43,2019-06-08,"May 23, 2018"
414,Blake Shelton,God's Country,20,20,9,2019-06-08,"March 29, 2019"
415,"Tyler, The Creator",Earfquake,21,13,2,2019-06-08,"May 17, 2019"
416,"Daddy Yankee, Katy Perry",Con Calma,22,22,17,2019-06-08,"April 19, 2019"
417,Meek Mill,Going Bad,23,6,26,2019-06-08,"November 30, 2018"
418,"benny blanco, Halsey, Khalid",Eastside,24,9,46,2019-06-08,"July 12, 2018"
419,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",25,2,16,2019-06-08,"February 8, 2019"
420,Lizzo,Truth Hurts,26,26,4,2019-06-08,"September 19, 2017"
421,Polo G,Pop Out,27,27,10,2019-06-08,"January 13, 2019"
422,A Boogie Wit da Hoodie,Look Back At It,28,27,25,2019-06-08,"December 7, 2018"
423,Halsey,Nightmare,29,15,2,2019-06-08,"May 17, 2019"
424,"Mustard, Migos",Pure Water,30,23,18,2019-06-08,"January 16, 2019"
425,City Girls,Act Up,31,29,13,2019-06-08,"November 16, 2018"
426,Travis Scott,Sicko Mode,32,1,43,2019-06-08,"August 3, 2018"
427,Khalid,Better,33,8,37,2019-06-08,"September 14, 2018"
428,Ed Sheeran,Cross Me,34,NA,NA,2019-06-08,"May 24, 2019"
429,"Cardi B, Bruno Mars",Please Me,35,3,15,2019-06-08,"February 15, 2019"
430,Kane Brown,Good As You,36,36,14,2019-06-08,"October 19, 2018"
431,"Lady Gaga, Bradley Cooper",Shallow,37,1,35,2019-06-08,"September 27, 2018"
432,Calboy,Envy Me,38,31,24,2019-06-08,"September 13, 2018"
433,Luke Combs,Beer Never Broke My Heart,39,29,4,2019-06-08,"May 8, 2019"
434,Panic! At The Disco,"Hey Look Ma, I Made It",40,40,7,2019-06-08,"June 22, 2018"
435,Lee Brice,Rumor,41,41,12,2019-06-08,"November 3, 2017"
436,Billie Eilish,When The Party's Over,42,29,29,2019-06-08,"October 17, 2018"
437,DJ Khaled,Wish Wish,43,19,2,2019-06-08,"May 17, 2019"
438,Thomas Rhett,Look What God Gave Her,44,44,13,2019-06-08,"March 1, 2019"
439,Luke Combs,Beautiful Crazy,45,21,29,2019-06-08,"May 4, 2018"
440,Dan + Shay,Speechless,46,24,23,2019-06-08,"May 18, 2018"
441,Lil Baby,Close Friends,47,28,31,2019-06-08,"October 5, 2018"
442,5 Seconds Of Summer,Easier,48,NA,NA,2019-06-08,"May 23, 2019"
443,21 Savage,A Lot,49,12,23,2019-06-08,"December 21, 2018"
444,Blueface,Thotiana,50,8,20,2019-06-08,"February 16, 2019"
445,Billie Eilish,Bury A Friend,51,14,18,2019-06-08,"January 30, 2019"
446,Kelsea Ballerini,Miss Me More,52,52,17,2019-06-08,"October 20, 2017"
447,"YG, Tyga, Jon Z",Go Loko,53,53,4,2019-06-08,"May 3, 2019"
448,Chase Rice,Eyes On You,54,38,15,2019-06-08,"October 13, 2017"
449,P!nk,Walk Me Home,55,49,13,2019-06-08,"February 20, 2019"
450,Marshmello,Here With Me,56,31,12,2019-06-08,"March 8, 2019"
451,Offset,Clout,57,39,8,2019-06-08,"February 22, 2019"
452,YK Osiris,Worth It,58,52,15,2019-06-08,"February 8, 2019"
453,Joyner Lucas,Isis,59,NA,NA,2019-06-08,"May 7, 2019"
454,DJ Khaled,Just Us,60,43,2,2019-06-08,"May 16, 2019"
455,YNW Melly,Murder On My Mind,61,14,19,2019-06-08,"March 4, 2017"
456,Eli Young Band,Love Ain't,62,50,7,2019-06-08,"May 25, 2018"
457,Maren Morris,GIRL,63,61,13,2019-06-08,"January 17, 2019"
458,Jonas Brothers,Cool,64,27,8,2019-06-08,"April 5, 2019"
459,Lil Uzi Vert,Sanguine Paradise,65,28,7,2019-06-08,"April 9, 2019"
460,Yo Gotti,Put A Date On It,66,46,18,2019-06-08,"January 25, 2019"
461,DJ Khaled,You Stay,67,44,2,2019-06-08,"May 17, 2019"
462,Logic,Homicide,68,5,4,2019-06-08,"May 3, 2019"
463,Beyonce,Before I Let Go,69,65,6,2019-06-08,"April 17, 2019"
464,Lewis Capaldi,Someone You Loved,70,70,3,2019-06-08,"November 8, 2018"
465,Megan Thee Stallion,Big Ole Freak,71,65,8,2019-06-08,"June 11, 2018"
466,Brett Eldredge,Love Someone,72,72,6,2019-06-08,"June 18, 2018"
467,"Lunay, Daddy Yankee, Bad Bunny",Soltera,73,73,3,2019-06-08,"May 10, 2019"
468,Luke Bryan,Knockin' Boots,74,74,5,2019-06-08,"March 29, 2019"
469,Meek Mill,24/7,75,54,8,2019-06-08,"November 30, 2018"
470,Eric Church,Some Of It,76,NA,NA,2019-06-08,"October 5, 2018"
471,DJ Khaled,Higher,77,21,2,2019-06-08,"May 17, 2019"
472,Florida Georgia Line,Talk You Out Of It,78,77,15,2019-06-08,"July 6, 2018"
473,"Summer Walker, Drake",Girls Need Love,79,37,14,2019-06-08,"February 27, 2019"
474,"Pedro Capo, Farruko",Calma,80,71,11,2019-06-08,"October 5, 2018"
475,Nipsey Hussle,Racks In The Middle,82,26,9,2019-06-08,"February 15, 2019"
476,Dan + Shay,All To Myself,83,83,4,2019-06-08,"May 3, 2018"
477,NLE Choppa,Shotta Flow,84,81,6,2019-06-08,"January 17, 2019"
478,"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",Baila Baila Baila,85,69,5,2019-06-08,"April 25, 2019"
479,Cody Johnson,On My Way To You,86,84,14,2019-06-08,"August 10, 2018"
480,Juice WRLD,Robbery,87,27,15,2019-06-08,"February 13, 2019"
481,Jon Pardi,Night Shift,88,56,15,2019-06-08,"June 17, 2016"
482,The Chainsmokers,Who Do You Love,89,52,16,2019-06-08,"February 7, 2019"
483,Mabel,Don't Call Me Up,90,66,10,2019-06-08,"January 18, 2019"
484,Lil Dicky,Earth,91,17,6,2019-06-08,"April 19, 2019"
485,Billie Eilish,Ocean Eyes,92,84,14,2019-06-08,"November 19, 2015"
486,Lizzo,Juice,93,93,2,2019-06-08,"January 4, 2019"
487,"Yella Beezy, Gucci Mane, Quavo",Bacc At It Again,94,NA,NA,2019-06-08,"March 15, 2019"
488,"Nicky Jam, Ozuna",Te Robare,95,95,3,2019-06-08,"March 22, 2019"
489,Maluma,HP,96,NA,NA,2019-06-08,"March 1, 2019"
490,Jason Aldean,Rearview Town,97,NA,NA,2019-06-08,"March 16, 2018"
491,YNW Melly,Mixed Personalities,98,42,18,2019-06-08,"January 18, 2019"
492,Bazzi,Paradise,99,91,3,2019-06-08,"April 4, 2019"
493,Jhene Aiko,Triggered,100,51,3,2019-06-08,"May 8, 2019"
494,Lil Nas X,Old Town Road,1,1,2,2019-06-01,"April 5, 2019"
495,"Ed Sheeran, Justin Bieber",I Don't Care,2,2,2,2019-06-01,"May 10, 2019"
496,Billie Eilish,Bad Guy,3,3,8,2019-06-01,"March 29, 2019"
497,Jonas Brothers,Sucker,4,1,12,2019-06-01,"March 1, 2019"
498,Khalid,Talk,5,5,15,2019-06-01,"February 7, 2019"
499,Post Malone,Wow.,6,2,22,2019-06-01,"December 24, 2018"
500,"Post Malone, Swae Lee",Sunflower,7,1,31,2019-06-01,"October 18, 2018"
501,"Sam Smith, Normani",Dancing With A Stranger,8,7,19,2019-06-01,"January 11, 2019"
502,Taylor Swift,ME!,9,2,5,2019-06-01,"April 26, 2019"
503,Ava Max,Sweet But Psycho,10,10,23,2019-06-01,"August 17, 2018"
504,Halsey,Without Me,11,1,33,2019-06-01,"October 4, 2018"
505,Ariana Grande,7 Rings,12,1,18,2019-06-01,"January 18, 2019"
506,"Tyler, The Creator",Earfquake,13,NA,NA,2019-06-01,"May 17, 2019"
507,DaBaby,Suge,14,14,8,2019-06-01,"March 1, 2019"
508,Halsey,Nightmare,15,NA,NA,2019-06-01,"May 17, 2019"
509,Shawn Mendes,If I Can't Have You,16,2,3,2019-06-01,"May 3, 2019"
510,J. Cole,Middle Child,17,4,18,2019-06-01,"January 23, 2019"
511,"Marshmello, Bastille",Happier,18,2,40,2019-06-01,"August 17, 2018"
512,DJ Khaled,Wish Wish,19,NA,NA,2019-06-01,"May 17, 2019"
513,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",20,2,15,2019-06-01,"February 8, 2019"
514,DJ Khaled,Higher,21,NA,NA,2019-06-01,"May 17, 2019"
515,Panic! At The Disco,High Hopes,22,4,42,2019-06-01,"May 23, 2018"
516,Meek Mill,Going Bad,23,6,25,2019-06-01,"November 30, 2018"
517,Blake Shelton,God's Country,24,24,8,2019-06-01,"March 29, 2019"
518,"benny blanco, Halsey, Khalid",Eastside,25,9,45,2019-06-01,"July 12, 2018"
519,Morgan Wallen,Whiskey Glasses,26,25,12,2019-06-01,"April 27, 2018"
520,"Daddy Yankee, Katy Perry",Con Calma,27,27,16,2019-06-01,"April 19, 2019"
521,"Mustard, Migos",Pure Water,28,23,17,2019-06-01,"January 16, 2019"
522,A Boogie Wit da Hoodie,Look Back At It,29,27,24,2019-06-01,"December 7, 2018"
523,Khalid,Better,30,8,36,2019-06-01,"September 14, 2018"
524,Polo G,Pop Out,31,31,9,2019-06-01,"January 13, 2019"
525,Travis Scott,Sicko Mode,32,1,42,2019-06-01,"August 3, 2018"
526,"Cardi B, Bruno Mars",Please Me,33,3,14,2019-06-01,"February 15, 2019"
527,City Girls,Act Up,34,29,12,2019-06-01,"November 16, 2018"
528,Maroon 5,Girls Like You,35,1,52,2019-06-01,"May 30, 2018"
529,"Lady Gaga, Bradley Cooper",Shallow,36,1,34,2019-06-01,"September 27, 2018"
530,Kane Brown,Good As You,37,37,13,2019-06-01,"October 19, 2018"
531,Lizzo,Truth Hurts,38,38,3,2019-06-01,"September 19, 2017"
532,Calboy,Envy Me,39,31,23,2019-06-01,"September 13, 2018"
533,Billie Eilish,When The Party's Over,40,29,28,2019-06-01,"October 17, 2018"
534,Luke Combs,Beer Never Broke My Heart,41,29,3,2019-06-01,"May 8, 2019"
535,Luke Combs,Beautiful Crazy,42,21,28,2019-06-01,"May 4, 2018"
536,DJ Khaled,Just Us,43,NA,NA,2019-06-01,"May 16, 2019"
537,DJ Khaled,You Stay,44,NA,NA,2019-06-01,"May 17, 2019"
538,Lee Brice,Rumor,45,45,11,2019-06-01,"November 3, 2017"
539,21 Savage,A Lot,46,12,22,2019-06-01,"December 21, 2018"
540,Panic! At The Disco,"Hey Look Ma, I Made It",47,41,6,2019-06-01,"June 22, 2018"
541,Marshmello,Here With Me,48,31,11,2019-06-01,"March 8, 2019"
542,Thomas Rhett,Look What God Gave Her,49,48,12,2019-06-01,"March 1, 2019"
543,Blueface,Thotiana,50,8,19,2019-06-01,"February 16, 2019"
544,"Tyler, The Creator",I Think,51,NA,NA,2019-06-01,"May 17, 2019"
545,DJ Khaled,Celebrate,52,NA,NA,2019-06-01,"May 17, 2019"
546,Logic,Homicide,53,5,3,2019-06-01,"May 3, 2019"
547,Chase Rice,Eyes On You,54,38,14,2019-06-01,"October 13, 2017"
548,Billie Eilish,Bury A Friend,55,14,17,2019-06-01,"January 30, 2019"
549,Offset,Clout,56,39,7,2019-06-01,"February 22, 2019"
550,DJ Khaled,Jealous,57,NA,NA,2019-06-01,"May 17, 2019"
551,P!nk,Walk Me Home,58,49,12,2019-06-01,"February 20, 2019"
552,Lil Baby,Close Friends,59,28,30,2019-06-01,"October 5, 2018"
553,Kelsea Ballerini,Miss Me More,60,59,16,2019-06-01,"October 20, 2017"
554,YNW Melly,Murder On My Mind,61,14,18,2019-06-01,"March 4, 2017"
555,YK Osiris,Worth It,62,52,14,2019-06-01,"February 8, 2019"
556,Lil Uzi Vert,Sanguine Paradise,63,28,6,2019-06-01,"April 9, 2019"
557,Yo Gotti,Put A Date On It,64,46,17,2019-06-01,"January 25, 2019"
558,"Tyler, The Creator",Running Out Of Time,65,NA,NA,2019-06-01,"May 17, 2019"
559,Eli Young Band,Love Ain't,66,50,6,2019-06-01,"May 25, 2018"
560,"Tyler, The Creator",Igor's Theme,67,NA,NA,2019-06-01,"May 17, 2019"
561,Jonas Brothers,Cool,68,27,7,2019-06-01,"April 5, 2019"
562,Maren Morris,GIRL,69,61,12,2019-06-01,"January 17, 2019"
563,"Tyler, The Creator",New Magic Wand,70,NA,NA,2019-06-01,"May 17, 2019"
564,Megan Thee Stallion,Big Ole Freak,72,65,7,2019-06-01,"June 11, 2018"
565,The Chainsmokers,Who Do You Love,73,52,15,2019-06-01,"February 7, 2019"
566,"Tyler, The Creator",A Boy Is A Gun,74,NA,NA,2019-06-01,"May 17, 2019"
567,Nipsey Hussle,Racks In The Middle,75,26,8,2019-06-01,"February 15, 2019"
568,"Lunay, Daddy Yankee, Bad Bunny",Soltera,76,73,2,2019-06-01,"May 10, 2019"
569,Beyonce,Before I Let Go,77,65,5,2019-06-01,"April 17, 2019"
570,Lil Dicky,Earth,78,17,5,2019-06-01,"April 19, 2019"
571,Mabel,Don't Call Me Up,79,66,9,2019-06-01,"January 18, 2019"
572,Lewis Capaldi,Someone You Loved,80,80,2,2019-06-01,"November 8, 2018"
573,Luke Bryan,Knockin' Boots,81,81,4,2019-06-01,"March 29, 2019"
574,"Summer Walker, Drake",Girls Need Love,82,37,13,2019-06-01,"February 27, 2019"
575,Brett Eldredge,Love Someone,83,78,5,2019-06-01,"June 18, 2018"
576,Juice WRLD,Robbery,84,27,14,2019-06-01,"February 13, 2019"
577,"Tyler, The Creator",What's Good,85,NA,NA,2019-06-01,"May 17, 2019"
578,Lady Antebellum,What If I Never Get Over You,86,NA,NA,2019-06-01,"May 17, 2019"
579,NLE Choppa,Shotta Flow,87,81,5,2019-06-01,"January 17, 2019"
580,"Tyler, The Creator",Puppet,88,NA,NA,2019-06-01,"May 17, 2019"
581,Florida Georgia Line,Talk You Out Of It,89,77,14,2019-06-01,"July 6, 2018"
582,Jon Pardi,Night Shift,90,56,14,2019-06-01,"June 17, 2016"
583,DJ Khaled,Weather The Storm,91,NA,NA,2019-06-01,"May 17, 2019"
584,"YG, Tyga, Jon Z",Go Loko,92,71,3,2019-06-01,"May 3, 2019"
585,Dan + Shay,All To Myself,93,93,3,2019-06-01,"May 3, 2018"
586,Jhene Aiko,Triggered,94,51,2,2019-06-01,"May 8, 2019"
587,Cody Johnson,On My Way To You,95,84,13,2019-06-01,"August 10, 2018"
588,"Pedro Capo, Farruko",Calma,96,71,10,2019-06-01,"October 5, 2018"
589,Meek Mill,24/7,97,54,7,2019-06-01,"November 30, 2018"
590,Brett Young,Here Tonight,98,42,20,2019-06-01,"September 14, 2018"
591,"Ozuna, Daddy Yankee, J Balvin, Farruko, Anuel AA",Baila Baila Baila,99,69,4,2019-06-01,"April 25, 2019"
592,"Nicky Jam, Ozuna",Te Robare,100,95,2,2019-06-01,"March 22, 2019"
593,Lil Nas X,Old Town Road,1,1,1,2019-05-25,"April 5, 2019"
594,"Ed Sheeran, Justin Bieber",I Don't Care,2,NA,NA,2019-05-25,"May 10, 2019"
595,Jonas Brothers,Sucker,3,1,11,2019-05-25,"March 1, 2019"
596,Billie Eilish,Bad Guy,4,4,7,2019-05-25,"March 29, 2019"
597,Post Malone,Wow.,5,2,21,2019-05-25,"December 24, 2018"
598,"Post Malone, Swae Lee",Sunflower,6,1,30,2019-05-25,"October 18, 2018"
599,"Sam Smith, Normani",Dancing With A Stranger,7,7,18,2019-05-25,"January 11, 2019"
600,Taylor Swift,ME!,8,2,4,2019-05-25,"April 26, 2019"
601,Khalid,Talk,9,8,14,2019-05-25,"February 7, 2019"
602,Halsey,Without Me,10,1,32,2019-05-25,"October 4, 2018"
603,Ariana Grande,7 Rings,11,1,17,2019-05-25,"January 18, 2019"
604,Ava Max,Sweet But Psycho,12,11,22,2019-05-25,"August 17, 2018"
605,Shawn Mendes,If I Can't Have You,13,2,2,2019-05-25,"May 3, 2019"
606,J. Cole,Middle Child,14,4,17,2019-05-25,"January 23, 2019"
607,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",15,2,14,2019-05-25,"February 8, 2019"
608,DaBaby,Suge,16,16,7,2019-05-25,"March 1, 2019"
609,"Marshmello, Bastille",Happier,17,2,39,2019-05-25,"August 17, 2018"
610,Meek Mill,Going Bad,18,6,24,2019-05-25,"November 30, 2018"
611,"benny blanco, Halsey, Khalid",Eastside,19,9,44,2019-05-25,"July 12, 2018"
612,Panic! At The Disco,High Hopes,20,4,41,2019-05-25,"May 23, 2018"
613,Logic,Homicide,21,5,2,2019-05-25,"May 3, 2019"
614,"Lady Gaga, Bradley Cooper",Shallow,22,1,33,2019-05-25,"September 27, 2018"
615,Khalid,Better,23,8,35,2019-05-25,"September 14, 2018"
616,Blake Shelton,God's Country,24,24,7,2019-05-25,"March 29, 2019"
617,Morgan Wallen,Whiskey Glasses,25,25,11,2019-05-25,"April 27, 2018"
618,"Mustard, Migos",Pure Water,26,23,16,2019-05-25,"January 16, 2019"
619,"Cardi B, Bruno Mars",Please Me,27,3,13,2019-05-25,"February 15, 2019"
620,A Boogie Wit da Hoodie,Look Back At It,28,27,23,2019-05-25,"December 7, 2018"
621,Luke Combs,Beer Never Broke My Heart,29,29,2,2019-05-25,"May 8, 2019"
622,"Daddy Yankee, Katy Perry",Con Calma,30,30,15,2019-05-25,"April 19, 2019"
623,Travis Scott,Sicko Mode,31,1,41,2019-05-25,"August 3, 2018"
624,Maroon 5,Girls Like You,32,1,51,2019-05-25,"May 30, 2018"
625,City Girls,Act Up,33,29,11,2019-05-25,"November 16, 2018"
626,Polo G,Pop Out,34,34,8,2019-05-25,"January 13, 2019"
627,Calboy,Envy Me,35,31,22,2019-05-25,"September 13, 2018"
628,Luke Combs,Beautiful Crazy,36,21,27,2019-05-25,"May 4, 2018"
629,Marshmello,Here With Me,37,31,10,2019-05-25,"March 8, 2019"
630,21 Savage,A Lot,38,12,21,2019-05-25,"December 21, 2018"
631,Kane Brown,Good As You,39,39,12,2019-05-25,"October 19, 2018"
632,Billie Eilish,When The Party's Over,40,29,27,2019-05-25,"October 17, 2018"
633,Panic! At The Disco,"Hey Look Ma, I Made It",41,41,5,2019-05-25,"June 22, 2018"
634,Lizzo,Truth Hurts,42,42,2,2019-05-25,"September 19, 2017"
635,Blueface,Thotiana,43,8,18,2019-05-25,"February 16, 2019"
636,Dean Lewis,Be Alright,44,23,29,2019-05-25,"June 28, 2018"
637,Chase Rice,Eyes On You,45,38,13,2019-05-25,"October 13, 2017"
638,"Lil Baby, Gunna",Drip Too Hard,46,4,35,2019-05-25,"September 9, 2018"
639,Billie Eilish,Bury A Friend,47,14,16,2019-05-25,"January 30, 2019"
640,Thomas Rhett,Look What God Gave Her,48,48,11,2019-05-25,"March 1, 2019"
641,Ariana Grande,"Thank U, Next",49,1,28,2019-05-25,"November 3, 2018"
642,Eli Young Band,Love Ain't,50,50,5,2019-05-25,"May 25, 2018"
643,Jhene Aiko,Triggered,51,NA,NA,2019-05-25,"May 8, 2019"
644,YNW Melly,Murder On My Mind,52,14,17,2019-05-25,"March 4, 2017"
645,Lee Brice,Rumor,53,53,10,2019-05-25,"November 3, 2017"
646,P!nk,Walk Me Home,54,49,11,2019-05-25,"February 20, 2019"
647,Offset,Clout,55,39,6,2019-05-25,"February 22, 2019"
648,Lil Baby,Close Friends,56,28,29,2019-05-25,"October 5, 2018"
649,Pinkfong,Baby Shark,57,32,20,2019-05-25,"June 17, 2016"
650,YK Osiris,Worth It,58,52,13,2019-05-25,"February 8, 2019"
651,Lil Uzi Vert,Sanguine Paradise,59,28,5,2019-05-25,"April 9, 2019"
652,The Chainsmokers,Who Do You Love,60,52,14,2019-05-25,"February 7, 2019"
653,Yo Gotti,Put A Date On It,62,46,16,2019-05-25,"January 25, 2019"
654,Kelsea Ballerini,Miss Me More,63,59,15,2019-05-25,"October 20, 2017"
655,Jonas Brothers,Cool,64,27,6,2019-05-25,"April 5, 2019"
656,Megan Thee Stallion,Big Ole Freak,65,65,6,2019-05-25,"June 11, 2018"
657,Mabel,Don't Call Me Up,66,66,8,2019-05-25,"January 18, 2019"
658,Nipsey Hussle,Racks In The Middle,67,26,7,2019-05-25,"February 15, 2019"
659,Jon Pardi,Night Shift,68,56,13,2019-05-25,"June 17, 2016"
660,Lil Dicky,Earth,69,17,4,2019-05-25,"April 19, 2019"
661,Maren Morris,GIRL,70,61,11,2019-05-25,"January 17, 2019"
662,Beyonce,Before I Let Go,71,65,4,2019-05-25,"April 17, 2019"
663,"Summer Walker, Drake",Girls Need Love,72,37,12,2019-05-25,"February 27, 2019"
664,"Lunay, Daddy Yankee, Bad Bunny",Soltera,73,NA,NA,2019-05-25,"May 10, 2019"
665,Brett Young,Here Tonight,74,42,19,2019-05-25,"September 14, 2018"
666,Juice WRLD,Robbery,75,27,13,2019-05-25,"February 13, 2019"
667,"Pedro Capo, Farruko",Calma,76,71,9,2019-05-25,"October 5, 2018"
668,Florida Georgia Line,Talk You Out Of It,77,77,13,2019-05-25,"July 6, 2018"
669,Brett Eldredge,Love Someone,78,78,4,2019-05-25,"June 18, 2018"
